,text,byline
0,"Please join CEA's Red for Ed Day of Action this Wednesday! Come to Hartford to meet with your legislators, or if you can't make it, take just a few minutes to call or email.",CONNECTICUT EDUCATION ASSOCIATION
1,"Thinking about attending a Connecticut State Community College? Get all the information and support you need during our virtual showcases April 28-30th. Hear about community college and program options throughout the state, transfer opportunities, financial aid, careers and more all from your couch! Live chat will be available. Register today by visiting the link in our bio.",odonnell company
2,Governor Lamont is protecting abortion rights in Connecticut. The governor is set to sign a major piece of legislation protecting abortion ahead of an upcoming Supreme Court ruling. Sign up now to learn more about what the Governor is doing for Connecticut >>,NED FOR CT
3,"Hey Connecticut, have you heard? Governor Lamont has signed a bill suspending the gas tax. This means real relief for working families across the state. Add your name now to get more updates on what Gov. Lamont is doing for Connecticut >>",NED FOR CT
4,Cost increases are hitting families in Connecticut. That’s why Governor Lamont and the Legislature have suspended the gas tax. It’ll cost you less to fill up at the pump. That’s real relief for Connecticut families. Add your name and find out more about how the Governor is working for you.,NED FOR CT
5,Governor Lamont is protecting abortion rights in Connecticut. The governor is set to sign a major piece of legislation protecting abortion ahead of an upcoming Supreme Court ruling. Sign up now to learn more about what the Governor is doing for Connecticut >>,NED FOR CT
6,"Hey Connecticut, have you heard? Governor Lamont has signed a bill suspending the gas tax. This means real relief for working families across the state. Add your name now to get more updates on what Gov. Lamont is doing for Connecticut >>",NED FOR CT
7,Governor Lamont is protecting abortion rights in Connecticut. The governor is set to sign a major piece of legislation protecting abortion ahead of an upcoming Supreme Court ruling. Sign up now to learn more about what the Governor is doing for Connecticut >>,NED FOR CT
8,"Hey Connecticut, have you heard? Governor Lamont has signed a bill suspending the gas tax. This means real relief for working families across the state. Add your name now to get more updates on what Gov. Lamont is doing for Connecticut >>",NED FOR CT
9,Cost increases are hitting families in Connecticut. That’s why Governor Lamont and the Legislature have suspended the gas tax. It’ll cost you less to fill up at the pump. That’s real relief for Connecticut families. Add your name and find out more about how the Governor is working for you.,NED FOR CT
10,"When you become an early childhood teacher, you are building the future for the children you care for and teach every day. Be there for the milestones and have an impact on the lives of little ones—as well as your own! www.ChildCareCareers.info
.
.
.
Cuando te conviertes en maestro de la primera infancia, moldeas el futuro de los niños a los que cuidas y enseñas a diario. Presencia los acontecimientos más importantes y genera un impacto en la vida de los más pequeños, ¡y también en la tuya! www.ChildCareCareers.info",Connecticut Office of Early Childhood
11,"🎙John DiIorio on Chaz and AJ talking about the top 5 ways Connecticut is destroying businesses.

Get the full interview here: https://www.reclaimct.org/radiointerviews",Reclaim Connecticut
12,Tell the governor and legislators to support #EducationJusticeNow - #HB5283 would send MILLIONS in additional funding to CT public schools through a student-centered approach.,"50CAN, INC."
13,"✅✅✅🎓What does #EducationJusticeNow mean to you and your community? House Bill 5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.

➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ

➡️ Read the bill: https://bit.ly/3vdxgJP

➡️ Learn more at: https://linktr.ee/studentcenteredfunding","50CAN, INC."
14,"✅✅✅🎓What does #EducationJusticeNow mean to you and your community? House Bill 5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.

➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ

➡️ Read the bill: https://bit.ly/3vdxgJP

➡️ Learn more at: https://linktr.ee/studentcenteredfunding","50CAN, INC."
15,"Hear from community activist Shawn Gaston about the merits of House Bill 5283 and how it would support education in the Brass City. 

Send a quick message to your legislators today https://p2a.co/IjyotSO

Student-centered funding would send millions in ADDITIONAL funding to Connecticut public schools.

https://conncan.org/blog/shawn_gaston/

#EducationJusticeNow #students #schools","50CAN, INC."
16,"✅ ✅ ✅ 🎓 What does #EducationJusticeNow mean to you and your community? House Bill 5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.

➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ

➡️ Read the bill: https://bit.ly/3vdxgJP

➡️ Learn more at: https://linktr.ee/studentcenteredfunding

➡️ Read an-op ed from the leaders of the #EducationJusticeNow coalition School and State Finance Project, Connecticut Charter Schools Association, Educators for Excellence, FaithActs for Education https://bit.ly/3LgdFhL","50CAN, INC."
17,"The health and safety of students, teachers and staff is at stake. Tell your legislators to pass SB 423 to improve indoor air quality in our schools NOW.",CONNECTICUT EDUCATION ASSOCIATION
18,Extreme temperatures derail teaching and learning. We need legislators to set temperature standards for schools.,CONNECTICUT EDUCATION ASSOCIATION
19,"There are only a handful of days left to pass SB 423! Tell legislators to act now on harmful indoor air quality in our schools. The health and safety of students, teachers and staff is at stake.",CONNECTICUT EDUCATION ASSOCIATION
20,Our kids can’t wait. Please contact your legislators today and ask them to set temperature standards for schools (SB 423).,CONNECTICUT EDUCATION ASSOCIATION
21,Extreme temperatures. Mold. Poor Ventilation. What you don’t see is making kids sick. Tell your legislators to pass SB 423 to improve indoor air quality in our schools.,CONNECTICUT EDUCATION ASSOCIATION
22,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
23,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
24,Extreme temperatures derail teaching and learning. We need legislators to set temperature standards for schools.,CONNECTICUT EDUCATION ASSOCIATION
25,Our kids can’t wait. Please contact your legislators today and ask them to set temperature standards for schools (SB 423).,CONNECTICUT EDUCATION ASSOCIATION
26,"The health and safety of students, teachers and staff is at stake. Tell your legislators to pass SB 423 to improve indoor air quality in our schools NOW.",CONNECTICUT EDUCATION ASSOCIATION
27,Extreme temperatures. Mold. Poor Ventilation. What you don’t see is making kids sick. Tell your legislators to pass SB 423 to improve indoor air quality in our schools.,CONNECTICUT EDUCATION ASSOCIATION
28,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
29,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
30,"There are only a handful of days left to pass SB 423! Tell legislators to act now on harmful indoor air quality in our schools. The health and safety of students, teachers and staff is at stake.",CONNECTICUT EDUCATION ASSOCIATION
31,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
32,Our kids can’t wait. Please contact your legislators today and ask them to set temperature standards for schools (SB 423).,CONNECTICUT EDUCATION ASSOCIATION
33,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
